uid_t,name,name_zh,village,raw_Text
V005-5,Tongmingdian,通明殿,V005, Tongmingdian 通明殿: The main god is Xuantian shangdi 玄天上帝. Secondary gods include Xuantan yuanshuai 玄坛元帅
V005-6,Huanglongfu,黄龙府,V005, Huanglongfu 黄龙府: The main god is Wangfu daren 黄府大人
V005-7,Jiulongtan,九龙坛,V005, Jiulongtan 九龙坛: The main god is Fude zhengshen 福德正神. Secondary gods include Zhuo zhenren 卓真人
V005-8,Longquan niyuan,龙泉尼院,V005," Longquan niyuan 龙泉尼院 was originally built in the Song and was rebuilt in 1980 (PTZJZ, 1992:221). The temple preserves a stele composed in 1932 entitled 龙泉院产业碑记 (Stone inscription listing the properties of the Dragon Spring Monastery) (Epigraphical Materials, 1995:367, No. 332). "
V006-1,Tongying zushê,通应祖社,V006," Tongying zushê 通应祖社: The main gods are Zunzhu mingwang 尊主明王, Houtu furen 后土夫人 and Tiangong yuanshuai 田公元帅. Secondary gods include Xuantian shangdi 玄天上帝, Sima shengwang 司马圣王, Fude zhengshen 福德正神, Daxiong 大兄 and Huye 虎爷"
V006-2,Ruiyunci,瑞云祠,V006, Ruiyunci 瑞云祠: The main god is Sanyi jiaozhu 三一教主. Secondary gods include Zhuo zhenren 卓真人
V006-3,Qingfuan,清福庵,V006," Qingfuan 清福庵 was built in the early Republican period. (PTZJZ, 1992:203) "
V007-1,Guangyinggong,广应宫,V007," Guangyinggong 广应宫, Tongyingshê 通应社 is located in Xipai 西牌. The main gods are Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Secondary gods include Ciji zhenjun 慈济真君, Chenghuang laoye 城隍老爷, Tianshang shengmu 天上圣母, Sima shengwang 司马圣王, Sanyi jiaozhu 三一教主, Tiangong yuanshuai 田公元帅, Zhanggong shengjun 张公圣君, Xuantan yuanshuai 玄坛元帅, Dutian yuanshuai 都天元帅, Chenshi zhenren 陈氏真人, Guanyin dashi 观音大士, Kanggong yuanshuai 康公元帅, Shiwuma 十五妈, Liu diye 刘帝爷, Wuhu 五虎, Jin jiangjun 金将军, and Yin jiangjun 银将军"
V007-2,Baofugong,保福宫,V007, Baofugong 保福宫 is in Shangshê 上社. The main god is Cuifu dama 崔府 大妈
V007-3,Taipingfu,太平府,V007," Taipingfu 太平府 is in Shangshê 上社. The main god is Chenshi zhenren 陈氏真人. Secondary gods are Lufu dashen 鲁府大神, Lufu furen 鲁府夫人, and Guanyin dashi 观音大士"
V007-4,Yuedimiao,岳帝庙,V007, Yuedimiao 岳帝庙 is in Xiashê 下社. The main god is Dongyue zhusheng dadi 东岳注生大帝. 
V008-1,Hongyingshê,通应社,V008, Hongyingshê 通应社: The main gods are Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Secondary gods include Sima shengwang 司马圣王 and Fude zhengshen 福德正神
V008-2,Heyingdong,赫应洞,V008, Heyingdong 赫应洞: The main god is Yanggong taishi 杨公太师. Secondary gods include Kongfu daren 孔府大人 and Dutian yuanshuai 都天 元帅
V008-3,Ciyungong,慈云宫,V008," Ciyungong 慈云宫: The main gods are Lufu dashen 鲁府大神, Lufu dama 鲁府大妈, and Lufu yima 鲁府姨妈"
V008-4,Dongshanfu,东山府,V008," Dongshanfu 东山府: The main god is Cuifu dama 崔府大妈. Secondary gods includde Liu duxun 刘都巡, Wang junzhu 王郡主, Wang daren 王大 人, Wu zhongjun 武中军, Jin guniang 金姑娘, Wenwu liesheng 文武列圣, Daxiong 大兄, and Erxiong 二兄"
V008-5,Baoshengyuan,宝胜院,V008," Baoshengyuan 宝胜院 was rebuilt in Guangxu 2 (1876). The main god is Dutian yuanshuai 都天元帅. Secondary gods include Ciji zhenjun 慈济真 君, Zhanggong shengjun 张公圣君, Taiyi xiangu 太乙仙姑, Liugong yuanshuai 刘公元帅, and Wuhu jiangjun 五虎将军"
V008-6,Longquansi,龙泉寺,V008," Longquansi 龙泉寺 was renovated 1932 and in 1993. The main god is Shijia wenfo 释迦文佛. Secondary gods include Sanyi jiaozhu 三一教主, Weituo 韦驮, Jialan 伽蓝, and the eighteen Luohan 十八罗汉. "
V009-1,Xiangshangong,香山宫,V009," Xiangshangong 香山宫 was rebuilt in the 1984. Main altar: Qianshi shengfei 钱氏圣妃 (three statues). Left altar: Li Zhen 黎畛. Side altars: Dashi 大使, Ershi 二使. This temple was the main temple of the Xiangshan shisanxiang (Thirteen villages of the Xiang Mountain temple, dedicated to the cult of Lady Qian). It was also the main temple of the Goukou sevenfold ritual alliance 沟口七境"
V009-2,Xiangshanting,香山亭,V009," Xiangshanting 香山亭 is dedicated to Guanyin dashi 观音大士, with Weituo 韦驮 and Jialan 伽蓝 as secondary gods"
V009-3,Qingshantang,庆善堂,V009," Qingshantang 庆善堂, locally known as the Xiagong (lower temple) 下宫, is the main temple of Qingcha village 青垞村总宫. The main goddess worshipped is Xuntian shengmu 顺天圣母, with Guanyin dashi 观音大士 as a secondary goddess"
V009-4,Xiyuanshê,西园社,V009, Xiyuanshê 西园社 is linked to the Minghemiao 明赫庙. This temple belongs to the Zhang 张. The main gods are Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. The secondary god is Dutong shenghou 都统 圣侯
V009-5,Guolongshê,郭陇社,V009," Guolongshê 郭陇社 belongs to the Wang 王. Main gods: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人. Secondary gods are Wutan liesheng 五坛列圣, Dutong shenghou 都统圣侯"
V009-6,Gonghuci,共壶祠,V009, Gonghuci 共壶祠 is dedicated to Sanyi jiaozhu 三一教主. 
V010-1,Yonganshê,永安社,V010," Yonganshê 永安社 was originally built during the Ming Dynasty. The main gods are Zunzhu mingwang 尊主明王, Houtu furen 后土夫人, and Tianshang shengmu 天上圣母. Secondary gods include Lufu dashen 鲁府大神 and Lufu furen 鲁府夫人"
V010-2,Hushangong,壶山宫,V010," Hushangong 壶山宫, Fuxingtang 福兴堂: The main god is Zhanggong shengjun 张公圣君. Secondary gods are Qitian dasheng 齐天大圣, Wutan liesheng 五坛列圣, and Baban 八班"
V010-3,Shunxingting,顺兴亭,V010, Shunxingting 顺兴亭: The main god is Guanyin dashi 观音大士. Secondary gods include Wengong yuanshuai 温公元帅 and Weituo zuntian 韦驮 尊天. 
V011-1,Honglinshê,洪林社,V011," Honglinshê 洪林社: Main gods: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人, Qianshi shengfei 钱氏圣妃. Secondary gods: Dutong shenghou 都统圣侯, Tiangong yuanshuai 田公 元帅, Zhanggong shengjun 张公圣君, Liugong yuanshuai 刘公元帅, Dashi 大使, and Ershi 二使"
V011-2,Julanting,聚兰亭,V011, Julanting 聚兰亭 is dedicated to Guanyin dashi 观音大士
V011-3,Hushanci,壶山祠,V011, Hushanci 壶山祠 is dedicated to Sanyi jiaozhu 三一教主
V011-4,Mingdetang,明德堂,V011, Mingdetang 明德堂 is dedicated to Sanyi jiaozhu 三一教主. The secondary god is Master Wu 吴先生. 
V012-1,Zhengyigong,正一宫,V012," Zhengyigong 正一宫 contains the altar of the Fuxing dongshê 福兴东社: The main gods are Zunzhu mingwang 尊主明王, Houtu furen 后土夫人, and Sima shengwang 司马圣王. Secondary gods are Qianshi shengfei 钱氏圣妃, Sanwei zhenjun 三位真君, Tiangong yuanshuai 田公元帅, Huanggong shenghou 黄公圣侯, and Fazhu xianfei 法主仙妃. "
V013-1,Zhaolinggong,昭灵宫,V013," Zhaolinggong 昭灵宫 contains the altar of the Fuxing xishê 福兴西社: Main gods: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人, and Qianshi shenfei 钱氏圣妃. Secondary gods: Tiangong yuanshuai 田公元帅. "
V014-1,Dongyuedian,东岳殿,V014," Dongyuedian 东岳殿 contains the altar of the Fuxing qianshê 福兴前社: Main gods: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人, and Zhusheng dadi 注生大帝. Secondary gods are Xuantian shangdi 玄天上帝, Guangze zunwang 广泽尊王, Fazhu xianfei 法主仙妃, Sima shengwang 司马圣王, Qianshi shengfei 钱氏圣妃, Caofu jiangjun 曹府 将军, and Xufu daren 徐府大人. "
V015-1,Ludungong,卢墩宫,V015, Ludungong 卢墩宫 branched off from the Beichengong near Huangshi 北辰宫. The main god is Xuantian shangdi 玄天 上帝. Secondary god: Fude zhengshen 福德正神
V015-2,Fuxing zhongshê,福兴中社,V015," Fuxing zhongshê 福兴中社 is dedicated to Zunzhu mingwang 尊主明王, Houtu furen 后土夫人 and Tianshang shengmu 天上圣母. Secondary gods are Tiangong yuanshuai 田公元帅, Fazhu xianfei 法主仙妃, and Qianshi shengfei 钱氏圣妃. "
V016-1,Fuxing shangshê,福兴上社,V016," Fuxing shangshê 福兴上社 is connected to the Tiantaigong 天泰宫: the main gods are Zunzhu mingwang 尊主明王, Houtu furen 后土夫人and Zhusheng dadi 注生大帝. Secondary gods are Caofu jiangjun 曹府将军 and Qianshi shengfei 钱氏圣妃. "
V017-1,Tingyangjing Xianwei shushê,汀洋境显威书社,V017," Tingyangjing Xianwei shushê 汀洋境显威书社, Zhaoling gong 昭灵宫 is dedicated to Zunzhu mingwang 尊主明王, Houtu furen 后土夫人. Secondary gods: Chen wenlong 陈文龙"
V017-2,Zhengjueyuan,正觉院,V017, Zhengjueyuan 正觉院: (the main overall temple for the sevenfold ritual alliance described above
V017-3,Zhengyiyuan,正一院,V017, Zhengyiyuan 正一院 is dedicated to Huanggong shenghou 黄公圣侯
V017-4,Longjinmiao,龙津庙,V017, Longjinmiao 龙津庙 is dedicated to Wuhuang dadi 五皇大帝
V017-5,Laishuiting,来水亭,V017," Laishuiting 来水亭 was renovated in 1984, and is dedicated to Guanyin dashi 观音大士. Left altar: Weituo 书驮, and Sanyi jiaozhu 三一教主. Right altar: Jialan 伽蓝. "
V018-1,Qingxintang,清心堂,V018," Qingxintang 清心堂 is dedicated to Tiangong yuanshuai 田公元帅. Secondary gods are Lufu dashen 鲁府大神, Lufu furen 鲁府夫人, Lufu yima 鲁府姨妈, and Lifu zhongjun 李府中军"
V018-2,Qingyitang,清一堂,V018," Qingyitang 清一堂 is dedicated to Sanyi jiaozhu 三一教主, Sanfeng zhenren 三峰真人, and Zhuozu zhenren 卓祖真人"
V018-3,Dongshuiting,东水亭,V018," Dongshuiting 东水亭 was built in 1914. (PTZJZ, 1992:221"
V018-4,Fuxing temple,福兴寺,V018," Fuxing temple 福兴寺 was built during the Republican period. (PTZJZ, 1992:221). "
V019-1,Yongxing beishê,永兴北社,V019," Yongxing beishê 永兴北社 is co-owned by Dingcuo 顶厝 and Xiacu 下厝. The main gods worshipped are Zunzhu mingwang 尊主 明王 and Houtu furen 后土夫人. Secondary gods: Qianshi shengfei 钱氏圣妃, Dongyue zhusheng dadi 东岳注生大帝, and Wushi xianfei 吴氏仙妃. "
V020-1,Baofushê,保福社,V020," Baofushê 保福社, Baofu dongshê 保福东社: Main gods: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人. Secondary gods: Xue daren 薛大人, Qingcha wang 青垞王 (Zhanggong shengjun 张公圣君)"
V020-2,Zhengjueyuan,正觉院,V020, Zhengjueyuan 正觉院 is dedicated to Guangze zunwang 广泽尊王. 
V021-1,Yonganshê,永安社,V021," Yonganshê 永安社 is dedicated to Zunzhu mingwang 尊主明王, Houtu furen 后土夫人. The secondary god is Zhusheng dadi 注生大帝. "
V022-1,Yongxing shangshê,永兴上社,V022," Yongxing shangshê 永兴上社, Baiyungong 白云宫 is dedicated to Zunzhu mingwang 尊主明王, Houtu furen 后土夫人, Kongfu daren 孔府大人, Zhanggong shengjun 张公圣君, Lufu dashen 鲁府大神, and Lufu furen 鲁府夫人. "
V023-1,Yongxing beishê,永兴北社,V023,"Yongxing beishê 永兴北社: Main gods: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人. Secondary gods: Cigan shengfei 慈感圣妃, Yanggong taishi 杨公太师, Sima shengwang 司马圣王, Ciji zhenjun 慈济真君, Taiyi xiangu 太乙仙姑, Zhanggong shengjun 张公圣君, Wuhu jialuo 五虎迦罗, Jixiang dajiang 吉祥大将, Dutian yuanshuai 都天 元帅, Tiangong yuanshuai 田公元帅, Wushi shengfei 吴氏圣妃 and Qianshi shengfei 钱氏圣妃. "
V024-1,Huaizhongtang,怀忠堂,V024," Huaizhongtang 怀忠堂, first built in the Ming, was rebuilt in Qianlong 10 (1745) and again in 1985. Inscriptions on the rafters mention the contributions of the descendants of Chen Yanhui 陈彦慧 and another local jinshi (Metropolitan Graduate) surrnamed Tang 唐. The temple is dedicated to Ciji zhenjun 慈济真君, Zhanggong shengjun 张公 圣君, and Wengong yuanshuai 温公元帅. Left altar: Kanggong shengwang 康公圣王 Right altar: Taiyi xiangu 太乙仙姑"
V024-2,Tiaogengshê,调羹社,V024," Tiaogengshê 调羹社: Middle altar: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人. Left altar: Qianshi shengfei 钱氏圣妃 (main altar). Right altar: Zhenggong sheren 郑公舍人"
V024-3,Qinglanci,庆兰祠,V024, Qinglanci 庆兰祠 is dedicated to Sanyi jiaozhu 三一教主. 
V025-1,Huizhongtang,回中堂,V025," Huizhongtang 回中堂 contains the altar of the Tiaogengshê 调羹社: Main gods: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人 and Qianshi xianfei 钱氏仙妃. Secondary gods: Ciji zhenjun 慈济 真君, Zhanggong shengjun 张公圣君, and Wengong yuanshuai 温公元帅. "
V026-1,Longxinggong,龙兴宫,V026,"Longxinggong 龙兴宫 contains the altar of the Longxingshê 龙兴社. The main gods are Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Secondary gods are Tiangong yuanshuai 田公元帅, Huanggong ershi 黄公二使, and Kongfu daren 孔府大人. "
V027-1,Tianshudian,天枢殿,V027," Tianshudian 天枢殿 is dedicated to Xuantian shangdi 玄天上帝. Secondary gods include Kongfu daren 孔府大人, Lingguan dadi 灵官大帝, and Guanyin dashi 观音大士"
V027-2,Tangdong lishê,塘东里社,V027," Tangdong lishê 塘东里社 is dedicated to Zunzhu mingwang 尊主明王, Houtu furen 后土夫人. Secondary gods include Sima shengwang 司马圣王, Cigan shengfei 慈感圣妃, Zhanggong shengjun 张公圣君, Zhongtian dashen 中天大圣, Jialuo dasheng 迦罗大帝, Qiugong yuanshuai 邱公元帅, Lufu dashen 鲁府大神, Lufu furen 鲁府夫人, and Lufu yima 鲁府姨妈. "
V028-1,Zhaokang zushê,赵坑祖社,V028," Zhaokang zushê 赵坑祖社 is dedicated to Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. Secondary gods are Tiangong yuanshuai 田公元帅, Baiya jiangjun 白牙将军, Sima shengwang 司马圣王, Qitian dasheng 齐天大圣, Cigan shengfei 慈感圣妃, and Kongfu daren 孔府大人"
V028-2,Fuxingsi,福星寺,V028, Fuxingsi 福星寺 was originally known as the Guishansi 龟山祖寺. The monastery is dedicated to Shijia mouni 释伽牟尼 and preserves an inscription from 1945
V028-3,Jinhuagong,金华宫,V028," Jinhuagong 金华宫 belongs to the Liao 廖, and is dedicated to Tiangong yuanshuai 田公元帅. Secondary gods are Zunzhu mingwang 尊主明王, Houtu furen 后土夫人, Jialuo dasheng 迦罗大圣, Cigan xianfei 慈感仙妃, Qitian dasheng 齐天大圣, Zhanggong shengjun 张公圣君, and Sima shengwang 司马圣王"
V028-4,Juyingtang,聚应堂,V028, Juyingtang 聚应堂 is dedicated to Sanyi jiaozhu 三一教主
V028-5,Houliaosi,后廖寺,V028," Houliaosi 后廖寺 was built in the Qing. (PTZJZ, 1992:221). "
V029-1,Yongfutang,永福堂,V029, Yongfutang 永福堂 (commonly referred to as Liushuaifu 刘帅府) is co-owned with Quqiao village 渠桥村. The main god is Liugong yuanshuai 刘公元帅
V029-2,Yuanyingmiao,元应庙,V029," Yuanyingmiao 元应庙 is dedicated to Lufu dashen 鲁府大神, supported by Lufu furen 鲁府夫人 and Lufu yima 鲁府姨妈"
V029-3,Jihuci,集壶祠,V029," Jihuci 集壶祠 is dedicated to Sanyi jiaozhu 三一教主. Secondary gods: Zhuo zhenren 卓真人, Fuyi xiansheng 扶易先生. There are 100 initiates according to SJCDCB, 1992:16"
V029-4,Xishantang,西山堂,V029," Xishantang 西山堂 is dedicated to Lin Lonjiang 林龙江. There are 106 initiates according to SJCDCB, 1992:16. "
V030-1,Shuijing gong,水晶宫,V030, Shuijing gong 水晶宫 was rebuilt in 1988. The main goddess is Qianshi shengfei 钱氏圣妃. Left altar: Taishan kangwang 泰山 康王. Right altar: Kongming zhouwang 孔明周王
V030-2,Pinghuci,屏壶祠,V030," Pinghuci 屏壶祠 is dedicated to Sanyi jiaozhu 三一教主, with Sima shengwang 司马圣王 as a secondary deity"
V030-3,Mituoan,弥陀庵,V030," Mituoan 弥陀庵 was built in the Qing. (PTZJZ, 1992:220) "
V031-1,Hushanjing Chongfuyuan,壶山境崇福院,V031, Hushanjing Chongfuyuan 壶山境崇福院 and the Gonglin zushê 拱林祖社: (see description above as the main overall temple of the seven village alliance)
V031-2,Lufu,鲁府,V031," Lufu 鲁府: Main gods: Lufu dashen 鲁府大神, Lufu furen 鲁府夫人 and Lufu yima鲁府姨妈. "
V032-1,Juyundian,聚云殿,V032," Juyundian 聚云殿 and its Tianxianfu 天仙府 is dedicated to Wuhuang dadi 五皇大帝. The secondary gods are Lida tianwang 李大天王, Guangze zunwang 广泽尊王, and Heiya jiangjun 黑牙将军. "
V033-1,Lingyoumiao,灵佑庙,V033," Lingyoumiao 灵佑庙: The main god is Yanggong taishi 杨公太师. Secondary gods include Taiyi xiangu 太乙仙姑, Zhanggong shengjun 张公圣君, Yang jiuniang 杨九娘, Xiao daoren 肖道人, Ni daoren 倪道人, Chang jiangjun 常将军, Yue jiangjun 岳将军, Chenlin jiangjun 陈琳 将军, Ziqian jiangjun 紫乾将军, Mengliang 孟良, and Jiaozan 焦赞"
V033-2,Shixi gumiao,狮西古庙,V033, Shixi gumiao 狮西古庙 is also known as Dagedong 大哥洞. The main god is Wuxiong 五兄. Secondary gods include Lidaren 李大人 and Baodaren 鲍大人. 
V034-1,Jinhuci,锦壶祠,V034," Jinhuci 锦壶祠is dedicated to Sanyi jiaozhu 三一教 主. Secondary gods include Dutian yuanshuai 都天元帅, Wuhu jialuo 五虎 伽罗, Huangfu daren 黄府大人, Zhanggong shengjun 张公圣君, Jixiang dajiang 吉祥大将, Wuhuang dadi 五皇大帝, Tianshang shengmu 天上圣母, Tiangong yuanshuai 田公元帅, Baiya jiangjun 白牙将军, Fenghuo ertong 风火儿童 and Cao jiangjun 曹将军"
V034-2,Hankoumiao,汉口庙,V034," Hankoumiao 汉口庙 is dedicated to Dutian yuanshuai 都天元帅, Jialuo dasheng 伽罗大圣"
V034-3,Xishan ci,西山祠,V034, Xishan ci 西山祠 is dedicated to Sanyi jiaozhu 三一教主. 
V035-1,Gonglin xishê,拱林西社,V035," Gonglin xishê 拱林西社: The main gods are Zunzhu mingwang尊主明王, Houtu furen 后土夫人, and Zhenggong dudu 郑公都督. Secondary gods include Xinghua chenghuang 兴化城隍, Cigan xianfei 慈感 仙妃, Sima shengwang 司马圣王, Tiangong yuanshuai 田公元帅, Baiya jiangjun 白牙将军, and Xufu daren 徐府大人 (Dage 大哥)"
V035-2,Beijidian,北极殿,V035," Beijidian 北极殿 is dedicated to Xuantian shangdi 玄天上帝. Secondary gods include Wen yuanshuai 温元帅, Kang yuanshuai 康元帅, Ma yuanshai 马元帅, Zhao yuanshuai 赵元帅, Gou yuanshuai 苟元帅, Bi yuanshuai 毕元帅, Leibu zunshen 雷部尊神, and Shandian shengmu 闪电圣母. "
V036-1,Renshoushê,仁寿社,V036," Renshoushê 仁寿社, Renfushê 仁福社: The main gods are Zunzhu mingwang 尊主明王, Houtu furen 后土夫人, and Tianshang shengmu 天上圣母"
V036-2,Pingtaici,屏台祠,V036," Pingtaici 屏台祠: The main gods are Sanyi jiaozhu 三一教主, Shijia mouni 释迦牟尼, and Lao zi 老子. Secondary gods include Zhang Sanfeng 张三峰, Zhuo zhenren 卓真人, Guanyin dashi 观音大士, and Xuantan yuanshuai 玄坛元帅. "
V037-1,Gonglin dongshê,拱林东社,V037," Gonglin dongshê 拱林东社, Qinghuyuan 清壶院 was built in Qianlong 18 (1753). The main gods are Zunzhu mingwang 尊主 明王, Houtu furen 后土夫人, and Tianshang shengmu 天上圣母. Secondary gods include Sima shengwang 司马圣王, Yanggong taishi 杨公太师, Mayang zungong 马洋尊公, Tiangong yuanshuai 田公元帅, Taiyi xiangu 太乙仙姑, Chen dutong 陈都统, Zheng dutong 郑都统, Qiu dutong 邱都统, Liu dutong 刘都统, and Fude zhengshen 福德正神"
V037-2,Tianshangong,天山宫,V037, Tianshangong 天山宫 is dedicated to Guangze zunwang 广泽尊王
V037-3,Mingxintang,明馨堂,V037," Mingxintang 明馨堂 and Liaokexuan 聊可轩 is in Houcuo 后厝 and is dedicated to Sanyi jiaozhu 三一教主. Secondary gods are Tiangong yuanshuai 田公元帅, Tianshang shengmu 天上圣母, Baiya jiangjun 白牙将军, Zhang Sanfeng 张三峰, Zhuo zhenren 卓真人and Jinfu daren 金府大人"
V037-4,Qinghuci,清壶祠,V037," Qinghuci 清壶祠 is in Weicuo 尾厝. This temple has over eighty initiates 门人. The temple is dedicated to Sanyi jiaozhu 三一教主. Secondary gods include Guanyin dashi 观音大士, Zhang Sanfeng 张三峰 and Zhuo zhenren 卓真人"
V037-5,Mingsantang,明三堂,V037," Mingsantang 明三堂 is dedicated to Sanyi jiaozhu 三一教主. 800 initiates are claimed in SJCDCB, 1992:17. "
V038-1,Gonglin zushê,拱林祖社,V038," Gonglin zushê 拱林祖社 is shared by Jingdun 锦墩, Xidong 溪东, and Dongba 东坝. The temple has been recently reconstructed. The main gods are Zunzhu mingwang 尊主明王and Houtu furen 后土夫人. Secondary gods include Yuantian shangdi 元天上帝, Tianshang shengmu 天上 圣母 and Guanyin dashi 观音大士"
V038-2,Yulinjing Yinghuyuan,玉林境瑛壶院,V038," Yulinjing Yinghuyuan 玉林境瑛壶院, Gonglin qianshê 拱林前社, Gonglin houshê 拱林后社: Main gods: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人 and Tiangong yuanshuai 田公元帅. Secondary gods: Cigan xianfei 慈感仙妃, Qianshi shengfei 钱氏圣妃, Liugong yuanshuai 刘公元帅, Zhanggong yuanshuai 张公元帅, Ciji zhenjun 慈济真君, Guanyin dashi 观音大士, Lufu dashen 鲁府大神, Lufu furen 鲁府夫人, Lufu yima 鲁府 姨妈, Jintong 金童, and Yunü 玉女"
V038-3,Yuxici,玉溪祠,V038, Yuxici 玉溪祠 is dedicated to Sanyi jiaozhu 三一教主
V038-4,Yuquansi,玉泉寺,V038," Yuquansi 玉泉寺 was built in the Republican period. (PTZJZ, 1992:221) "
V039-1,Dongfenjing,东汾境,V039," Dongfenjing 东汾境 Muhuagong 木华宫, Yingxing lishê 应兴里社: The main gods are: Zunzhu mingwang 尊主明王, Houtu furen 后土夫人, and Tiangong yuanshuai 田公元帅. Secondary gods: Zhanggong shengjun 张公圣君, Liugong yuanshuai 刘公元帅, Qianshi shengfei 钱氏圣妃, Wuhu jialuo 五虎伽罗, Dutian yuanshuai 都天元帅, Jixiang dajiang 吉祥大将, and Taiyi xiangu 太乙仙姑"
V039-2,Yangzici,仰紫祠,V039," Yangzici 仰紫祠 is dedicated to Sanyi jiaozhu 三一教主. Secondary gods: Sanfeng zhenren 三峰真人, Zhuozu zhenren 卓祖真人"
V039-3,Yunlouan,云楼庵,V039," Yunlouan 云楼庵 (PTZJZ, 1992:221) "
V040-1,Shaoxing lishê,绍兴里社,V040, Shaoxing lishê 绍兴里社 is located in Xiaqiao 下桥. Main gods are Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人. The secondary god is Qitian dasheng 齐天大圣. This is the main temple of the Xidong three village ritual alliance
