startdate,enddate,uid_r,text,gods_involved
01-14,01-14,V016-1,On 1/14 the incense burner of the shê altar is taken on a procession to each household to xingdao 行道 practice the Dao. There is a lantern procession at night.,[]
01-16,01-16,V017-1,"On 1/16 the villagers go to the Zhengjueyuan 正觉院 to invite Ciji zhenjun 慈济真君, Zhanggong shengjun 张公 圣君, Sima shengwang 司马圣王, Tiangong yuanshuai 田公元帅, Dutian yuanshuai 都天元帅, Wushi shengfei 吴氏圣妃 and Taiyi xiangu 太乙仙姑 go on a procession within the village territory.","['Ciji zhenjun', 'Dutian yuanshuai', 'Sima shengwang', 'Taiyi xiangu', 'Tiangong', 'Tiangong yuanshuai', 'Wushi shengfei', 'Zhanggong shengjun']"
01-11,01-11,V018-1,"On 1/11, Tiangong yuanshuai 田公元帅 and Lifu zhongjun 李府中军 are invited to go on procession within the village to xingdao 行道 practice the Dao in each household. They then do the same in Xiacuo 下厝 village. At night there is a procession of lanterns.","['Tiangong', 'Tiangong yuanshuai']"
01-15,01-31,V018-2,"Late in the first lunar month, on a day determined by divination, Toufu 头福 is celebrated by inviting the spirit mediums of Tiangong yuanshui to chonghua 冲花 (stand bare-chested in the flames of a massive Roman candle).","['Tiangong', 'Tiangong yuanshuai']"
01-11,01-11,V019-1,"On 1/11, villagers from Xiacuo 下厝 together with villagers from Dingcuo 顶厝 take Tiangong yuanshuai 田公 元帅 and Lifu zhongjun 李府中军 on a procession around the two villages to xingdao 行道 practice the Dao in each household. At night there is a procession of lanterns.","['Tiangong', 'Tiangong yuanshuai']"
01-13,01-13,V020-1,On 1/13 the Zhou 周 take the incense burner of the shê altar on a procession to each household to xingdao 行道 practice the Dao.,[]
01-14,01-14,V020-2,On 1/14 the Lin 林 take the incense burner of the shê altar on a procession to each household to xingdao 行道 practice the Dao.,[]
01-10,01-10,V021-1,On 1/10 villagers take the incense burner of the shê altar on a procession to each household to xingdao 行道 practice the Dao.,[]
01-15,01-15,V022-1,On 1/15 villagers take the incense burner of the shê altar on a procession to each household to xingdao 行道 practice the Dao.,[]
01-09,01-09,V023-1,"On 1/9 Ciji zhenjun 慈济真君, Zhanggong shengjun 张公圣君, Tiangong yuanshuai 田公元帅, Wuhu jialuo 五虎 迦罗, Dutian yuanshuai 都天元帅 and the shêlu 社炉 (incense burners of the shê altar) are invited to go on a procession around the village.","['Ciji zhenjun', 'Dutian yuanshuai', 'Tiangong', 'Tiangong yuanshuai', 'Wuhu jialuo', 'Zhanggong shengjun']"
01-13,01-13,V024-1,"On 1/13 Yangzhong 洋中 (the Chen 陈氏) invites Qianshi shengfei 钱氏圣妃, Wengong yuanshuai 温公元帅, Taiyi xiangu 太乙仙姑 and Kanggong shengwang 康公圣王 to go on procession within its territory.","['Kanggong shengwang', 'Qianshi shengfei', 'Taiyi xiangu']"
01-13,01-13,V024-2,"On 1/13 Tangjing 唐境 (belonging to the Tang 唐氏) invites Qianshi shengfei 钱氏圣妃, Wengong yuanshuai 温公元帅, Taiyi xiangu 太乙仙姑 and Kanggong shengwang 康公圣王 to go on procession within its territory.","['Kanggong shengwang', 'Qianshi shengfei', 'Taiyi xiangu']"
01-15,01-15,V024-3,"On 1/15 Hougou 后沟 invites Dutian yuanshuai 都天元帅, Jixiang dajiang 吉祥大将, Qianshi shengfei 钱氏圣妃, Wengong yuanshuai 温公元帅, Taiyi xiangu 太乙仙姑 and Kanggong shengwang 康公圣王 to go on procession within its territory.","['Dutian yuanshuai', 'Jixiang dajiang', 'Kanggong shengwang', 'Qianshi shengfei', 'Taiyi xiangu']"
01-07,01-07,V025-1,1/7: Qianshi shengfei 钱氏仙妃 goes on procession within the village.,['Qianshi shengfei']
01-14,01-14,V026-1,"On 1/14 villagers carry Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人, Tiangong yuanshuai 田公元帅 and Huanggong ershi 黄公二使 to each house to xingdo 行道 practice the Dao, making a tour of the entire village. At night there is a lantern procession.","['Houtu furen', 'Huanggong', 'Huanggong ershi', 'Tiangong', 'Tiangong yuanshuai', 'Zunzhu mingwang']"
01-10,01-12,V027-1,On 1/10–12 the villagers take the incense burner of the shê altar on a procession to each household to xingdao 行道 practice the Dao.,[]
01-10,01-10,V028-1,On 1/10 the Liao 廖 take the incense burner of the shê altar on a procession to each household to xingdao 行道 practice the Dao.,[]
01-15,01-15,V028-2,On 1/15 the miscellaneous surnames 杂姓 take the incense burner of the shê altar on a procession to each household to xingdao 行道 practice the Dao.,[]
01-08,01-08,V029-1,On 1/8 the incense burner of the shê altar is taken on a procession to each household to xingdao 行道 practice the Dao. There is a lantern procession at night.,[]
01-15,01-15,V029-2,On 1/15 the common Yuanxiao 总元宵 is held. There are four Fushou 福首 selected. Three Daoist ritual masters are invited to conduct rites.,[]
01-30,01-30,V029-3,On 1/30 Toufu 头福 is celebrated by taking part in the procession of Tianshang shengmu 天上圣母 to the seven villages of the alliance.,['Tianshang shengmu']
01-08,01-08,V030-1,On 1/8 Quqiao village goes to Xiadun 下墩 to invite Liugong yuanshuai 刘公元帅 back to their own village to go on a procession there.,['Liugong yuanshuai']
01-15,01-15,V030-2,On 1/15 the villagers participate in the common Yuanxiao 总元宵 of the seven village alliance.,[]
01-30,01-30,V030-3,On 1/30 Toufu 头福 is celebrated by taking part in the procession of Tianshang shengmu 天上圣母 to the seven villages of the alliance.,['Tianshang shengmu']
01-10,01-10,V031-1,"On 1/10 Dongling village, together with Dubian 度边 and Tangbian 塘边, invite Zhanggong shengjun 张公圣君 to go on a procession through their villages.",['Zhanggong shengjun']
01-15,01-15,V031-2,On 1/15 the villagers participate in the common Yuanxiao 总元宵 of the seven village alliance.,[]
01-30,01-30,V031-3,On 1/30 Toufu 头福 is celebrated by taking part in the procession of Tianshang shengmu 天上圣母 to the seven villages of the alliance.,['Tianshang shengmu']
01-10,01-10,V032-1,1/10: the gods of the village temple are taken on a procession.,[]
01-15,01-15,V032-2,On 1/15 the villagers participate in the common Yuanxiao 总元宵 of the seven village alliance.,[]
01-30,01-30,V032-3,On 1/30 Toufu 头福 is celebrated by taking part in the procession of Tianshang shengmu 天上圣母 to the seven villages of the alliance.,['Tianshang shengmu']
01-10,01-10,V033-1,On 1/10 Dubian village joins with Dongling 东岭 and Tangbian 塘边 to take Zhanggong shengjun 张公圣君 on a procession throughout their three villages.,['Zhanggong shengjun']
01-15,01-15,V033-2,On 1/15 the villagers participate in the common Yuanxiao 总元宵 of the seven village alliance.,[]
01-30,01-30,V033-3,On 1/30 Toufu 头福 is celebrated by taking part in the procession of Tianshang shengmu 天上圣母 to the seven villages of the alliance.,['Tianshang shengmu']
01-12,01-12,V034-1,On 1/12 the villagers go to the main temple to invite Dutian yuanshuai 都天元帅 and Jialuo dasheng 伽罗大圣 to go on a procession through the village.,"['Dutian yuanshuai', 'Jialuo dasheng']"
01-15,01-15,V034-2,On 1/15 the villagers participate in the common Yuanxiao 总元宵 of the seven village alliance.,[]
01-30,01-30,V034-3,On 1/30 Toufu 头福 is celebrated by taking part in the procession of Tianshang shengmu 天上圣母 to the seven villages of the alliance. Two “men of good fortune” (fushou 福首) are selected each year.,['Tianshang shengmu']
01-07,01-07,V035-1,On 1/7 the incense burner of the shê altar is taken on a procession to each household to xingdao 行道 practice the Dao.,[]
01-15,01-15,V035-2,On 1/15 the villagers participate in the common Yuanxiao 总元宵 of the seven village alliance.,[]
01-30,01-30,V035-3,On 1/30 Toufu 头福 is celebrated by taking part in the procession of Tianshang shengmu 天上圣母 to the seven villages of the alliance.,['Tianshang shengmu']
01-12,01-12,V036-1,"On 1/12, the gods of Renshoushê 仁寿社 and Renfushê 仁福社 are taken on a procession around the village. Opera is performed, and Daoist ritual masters are invited to conduct rites.",[]
01-15,01-15,V036-2,"On 1/15, the villagers participate in the common Yuanxiao festival总元宵 of the Jindun 锦墩七境 seven village alliance, and Taiyi xiangu 太乙仙姑 is invited to go on procession.",['Taiyi xiangu']
01-30,01-30,V036-3,"On 1/30, Toufu 头福 is celebrated by taking part in the procession of Tianshang shengmu 天上圣母 to the seven villages of the alliance.",['Tianshang shengmu']
01-12,01-13,V037-1,On 1/12–13 Weicuo 尾厝 takes the gods of Gonglin dongshê 拱林东社 and Qinghuyuan 清壶院 on a procession around the village.,[]
01-14,01-15,V037-2,On 1/14–15 Houcuo 后厝 takes the gods of Gonglin dongshê 拱林东社 and Qinghuyuan 清壶院 on a procession around the village.,[]
02-02,02-02,V037-3,"On 2/2, the celebration of Toufu 头福, divination blocks are cast to determine the day on which the gods of Gonglin zushê 拱林祖社 will be taken on a procession through the three-fold village ritual alliance. Opera is performed, and Daoist ritual masters are invited to conduct rituals.",[]
01-14,01-14,V038-1,On 1/14 the incense burner of the shê altar is taken on a procession to each household to xingdao 行道 practice the Dao. There is a lantern procession at night.,[]
01-16,01-16,V038-2,On 1/16 a common Yuanxiao 总元宵 is held and Cigan shengfei 慈感圣妃 is taken on a procession through the village.,[]
02-01,02-01,V038-3,"In the 2nd lunar month, on a day determined by divination, Toufu 头福 is celebrated. Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 are carried in a procession through this village and through the villages of Jindun 锦墩, Yangwei 洋尾 and Dongba 东坝.",[]
01-13,01-13,V039-1,"On 1/13 Tiangong yuanshuai 田公元帅, Zhanggong shengjun 张公圣君, Wuhu jialuo 五虎伽罗, Taiyi xiangu 太乙 仙姑, Dutian yuanshuai 都天元帅, Jixiang dajiang 吉祥大将, Lüma 吕妈, and Xiangu 仙姑 are taken on a procession around the village. Lanterns go on procession around its territory.","['Dutian yuanshuai', 'Jixiang dajiang', 'Taiyi xiangu', 'Tiangong', 'Tiangong yuanshuai', 'Wuhu jialuo', 'Zhanggong shengjun']"
01-23,01-23,V039-2,"On 1/23, on the last night of Yuanxiao 末夜元宵, candles are lit 点喜蜡, and one Daoist ritual master is invited to conduct rituals.",[]
01-14,01-14,V040-1,On 1/14 the gods of Shaoxing lishê 绍兴 里社 are taken on a procession around the village.,[]
01-18,01-18,V040-2,On 1/18 the gods of Longxing shangshê 隆兴上社 are taken on procession around the village. These events are organized by Dingqiao 顶桥. On these days opera is performed and Daoist rites are held. Funding is raised on a per capita basis.,[]
01-15,01-15,V041-1,"On 1/15, the gods of Yongxing zhongshê 永兴中社are taken on a procession around the village.",[]
02-02,02-02,V041-2,"On 2/2, Toufu 头福 is celebrated. On these days, opera is performed, and Daoist ritual masters are invited to conduct rites. The village organizes the event and funds are collected on a per capita basis.",[]
01-11,01-12,V042-1,"On 1/11–12 the incense burners of Baofushê 保福社 are invited to practice the Dao 行道 in every household. Opera is performed, and Daoist ritual masters are invited to conduct rites. The village organizes the event and funds are collected on a per capita basis.",[]
01-24,01-24,V042-2,"On 1/24, the final evening of Yuanxiao 末晚元宵 is celebrated. The gods of Xingshangong 兴山宫 are taken on a procession around the village. Opera is performed, and Daoist ritual masters are invited to conduct rites. The village organizes the event and funds are collected on a per capita basis.",[]
01-12,01-12,V043-1,On 1/12 Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 are taken on a procession to each household to xingdao 行道 practice the Dao.,"['Houtu furen', 'Zunzhu mingwang']"
01-15,01-15,V043-2,On 1/15 a lantern procession is held around the village boundaries.,[]
02-01,02-01,V043-3,"On 2/1 Jialuo dasheng 伽罗大圣 goes on procession around the village. On these days, opera is performed, and Daoist ritual masters are invited to conduct rites. The village organizes these events and funds are collected on a per capita basis.",['Jialuo dasheng']
01-10,01-10,V044-1,n 1/10 the Gong 龚 take the incense burners of the shê altar to go to each household to xingdao 行道 practice the Dao.,[]
01-13,01-13,V044-2,On 1/13 the Yu 俞 take the incense burners of the shê altar to go to each household to xingdao 行道 practice the Dao.,[]
01-20,01-20,V044-3,"On 1/20 a general Yuanxiao celebration is held, and Zunzhu mingwang 尊主明王, Houtu furen 后土夫人, Zhanggong shengjun 张公圣君 and Jixiang dajiang 吉祥大将 are taken on a procession around the village. Opera is performed and Daoist ritual masters are invited to hold a jiao ritual.","['Houtu furen', 'Jixiang dajiang', 'Zhanggong shengjun', 'Zunzhu mingwang']"
01-11,01-11,V045-1,On 1/11 the villagers carry Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 to each household to xingdao 行道 practice the Dao. That evening a lantern procession moves along the village boundaries.,"['Houtu furen', 'Zunzhu mingwang']"
01-22,01-22,V045-2,"On 1/22 the general Yuanxiao celebration is held. This used to be a joint celebration by the five village alliance, but now is celebrated only by Qianmian village itself. Opera is performed and Daoist ritual masters are invited to perform jiao rites.",[]
01-08,01-08,V046-1,On 1/8 the villagers take the incense burners of the shê altar to go to each household to xingdao 行道 practice the Dao.,[]
01-08,01-08,V047-1,On 1/8 the villagers take the incense burners of the shê altar to go to each household to xingdao 行道 practice the Dao.,[]
01-14,01-14,V048-1,On 1/14 the villagers take the incense burners of the shê altar to go to each household to xingdao 行道 practice the Dao.,[]
01-12,01-12,V049-1,On 1/12 villagers carry Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 to each household to xingdao 行道 practice the Dao.,"['Houtu furen', 'Zunzhu mingwang']"
01-09,01-09,V050-1,On 1/9 the villagers take the incense burners of the shê altar to go to each household to xingdao 行道 practice the Dao.,[]
01-14,01-14,V051-1,On 1/14 villagers invite Fazhu xianfei 法主仙妃 from the Zhaolinggong 昭灵宫 back to their village to go on a procession.,['Fazhu xianfei']
01-09,01-09,V052-1,On 1/9 Fazhu xianfei 法主仙妃 is invited from Zhaolingong 昭灵宫 for a procession throughout the village.,['Fazhu xianfei']
01-16,01-16,V053-1,"On 1/16, the villagers join with Qianhu village 前湖 to invite Fazhu xianfei 法主仙妃 on a procession around both villages’ ritual territories.",['Fazhu xianfei']
01-16,01-16,V054-1,On 1/16 Qianhu village joins with Houhu 后湖 village to invite Fazhu xianfei 法主仙妃 to go on a procession around their villages.,['Fazhu xianfei']
01-13,01-13,V055-1,On 1/13 Fazhu xianfei 法主仙妃 is invited from the Zhaohuilong 昭灵宫 to go on procession around the Huibi village boundaries.,['Fazhu xianfei']
01-15,01-15,V056-1,On 1/15 the villagers invite Xuantian shangdi 玄天上帝 to go on a procession around the village.,['Xuantian shangdi']
01-12,01-12,V057-1,On 1/12 villagers invite Fazhu xianfei 法主仙妃 to go on a procession around the village.,['Fazhu xianfei']
01-18,01-18,V058-1,On 1/18 villagers invite Fazhu xianfei 法主仙妃 to go on a procession around the village.,['Fazhu xianfei']
01-13,01-13,V059-1,"On 1/13 the Weng 翁, the Chen 陈 and the Xu 徐 take the incense burners of the Yongtan dongshê 涌坛东社 on a procession around the village.",[]
01-15,01-15,V059-2,On 1/15 the Cai 蔡 and the Chen 陈 take the incense burners of the Yongtan zushê 涌坛祖社 on a procession around the village.,[]
02-01,02-31,V059-3,"During the 2nd lunar month, on a day determined by divination, Yanggong taishi 杨公太师 is taken on a procession to every village in the nine-fold alliance of Xindu 新度九社.",[]
01-11,01-11,V060-1,On 1/11 Yongtan dongshê 涌坛东社 goes on procession.,[]
01-13,01-13,V060-2,On 1/13 Yongtan wushê 涌坛武社 goes on procession.,[]
02-01,02-31,V060-3,"During the 2nd lunar month, on a day determined by divination, Yanggong taishi 杨公太师 is taken on a procession through each village.",[]
01-14,01-14,V061-1,"On 1/14 Zunzhu mingwang 尊主明王, Houtu furen 后土夫人, Tiangong yuanshuai 田公元帅 and Zhanggong shengjun 张公圣君 of the Yongtan wenshê 涌坛文社are taken on a procession around the village boundaries by the Fang 方, Zhou 周, Lin 林, and Wu 吴 households.","['Houtu furen', 'Tiangong', 'Tiangong yuanshuai', 'Zhanggong shengjun', 'Zunzhu mingwang']"
02-01,02-31,V061-2,"During the 2nd lunar month, on a day determined by divination, Yanggong taishi 杨公太师 is taken on a procession to every village in the alliance.","['Houtu furen', 'Tiangong', 'Tiangong yuanshuai', 'Zhanggong shengjun', 'Zunzhu mingwang']"
01-11,01-11,V062-1,"On 1/11, the Huang 黄 and the Hu 胡 take the incense burners of the Xinxian zushê 兴贤祖社 on a procession to each of their respective households to practice the Dao xingdao 行道.",[]
01-12,01-12,V062-2,"On 1/12 the Zhou 周, the Chen 陈, and the Huang 黄 take the incense burners of the Wanan xueshê 万安学社 on a procession to each of their households to practice the Dao xingdao 行道.",[]
01-14,01-14,V062-3,"On 1/14, the Zou 邹 take the incense burners of the Xingxian xinshê 兴贤新社 on a procession to each of their own households to practice the Dao xingdao 行道.",[]
02-01,02-31,V062-4,"In the 2nd lunar month, on a day determined by divination, Yanggong taishi 杨公太师 and Tianshang shengmu 天上圣母 are carried in a procession to every shê.",[]
01-04,01-04,V063-1,"On 1/4 the gods are welcomed back to the temple 接神, and the first opera is performed 头场戏.",[]
01-06,01-06,V063-2,On 1/6 the incense burners of Chunxing dongshê 淳兴东社 are taken on procession.,[]
01-07,01-07,V063-3,On 1/7 the incense burners of Longjin zushê 龙津祖社 are taken on procession.,[]
01-08,01-08,V063-4,On 1/8 the incense burners of Longjin xishê 龙津西社 are taken on procession.,[]
01-09,01-09,V063-5,On 1/9 the incense burners of Chunxing nanshê 淳兴南社 are taken on procession.,[]
01-21,01-2,V063-6,"Between 1/21–2/5, on a day determined by divination, the incense burners and gods of 龙津庙 Longjin miao are taken on procession.",[]
01-15,01-15,V064-1,On 1/15 the incense burners 社炉 of Guanan zhongshê 灌安中社 are taken on procession to every household to practice the Dao.,[]
01-15,01-15,V065-1,On 1/15 the villagers take the incense burners of the shê altar to each household to xingdao 行道 practice the Dao.,[]
01-04,01-04,V066-1,On 1/4 Zunzhu mingwang 尊主明王 and Houtu furen 后土夫人 are taken on procession around the village.,"['Houtu furen', 'Zunzhu mingwang']"
02-01,02-01,V066-2,On 2/1 the rites of Toufu 头福 are held.,[]
01-15,01-15,V067-1,"On 1/15, the villagers take the incense burners of the shê altar to each household to xingdao 行道 practice the Dao.",[]
01-10,01-10,V068-1,n 1/10 the villagers take the incense burners of the shê altar to each household to xingdao 行道 practice the Dao.,[]
01-15,01-15,V069-1,On 1/15 the villagers take the incense burners of the shê altar to each household to xingdao 行道 practice the Dao.,[]
01-13,01-13,V070-1,On 1/13 the villagers take the incense burners of the shê altar to each household to xingdao 行道 practice the Dao. There is a procession around the village boundaries.,[]
01-15,01-15,V071-1,n 1/15 the villagers take the incense burners of the shê altar to each household to xingdao 行道 practice the Dao. There is a procession around the village boundaries.,[]
01-11,01-11,V072-1,On 1/11 the Yang 杨 take the incense burner of the shê altar on a procession to each of their households to xingdao 行道 practice the Dao.,[]
01-13,01-13,V072-2,On 1/13 the Li 李 take the incense burner of the shê altar on a procession to each of their households to xingdao 行道 practice the Dao.,[]
01-22,01-23,V072-3,"On 1/22–23 a common Yuanxiao 总元宵 is held. Tianshang shengmu 天上 圣母 and Sima shengwang 司马圣王 are invited to go on procession throughout the sevenfold ritual alliance. There is fire-walking 踏火 (carrying the sedan chairs of the gods over bonfires), and Daoist ritual master are invited to conduct rituals.","['Sima shengwang', 'Tianshang shengmu']"
01-14,01-14,V073-1,On 1/14 the villagers take the incense burner of the shê altar on a procession to each household to xingdao 行道 practice the Dao.,[]
01-22,01-23,V073-2,"On 1/22–23 a common Yuanxiao 总元宵 is held. Tianshang shengmu 天上圣母 and Sima shengwang 司马圣王 are invited to go on procession throughout the sevenfold ritual alliance. There is fire-walking 踏火 by carrying the sedan chairs of the gods through bonfires, and Daoist ritual master are invited to conduct rituals.","['Sima shengwang', 'Tianshang shengmu']"
01-15,01-15,V074-1,On 1/15 the villagers take the incense burner of the shê altar on a procession to each household to xingdao 行道 practice the Dao.,[]
01-22,01-23,V074-2,"On 1/22–23 a common Yuanxiao 总元宵 is held. Tianshang shengmu 天上圣母 and Sima shengwang 司马圣王 are invited to go on procession throughout the sevenfold ritual alliance. There is fire-walking 踏火 by carrying the sedan chairs of the gods through bonfires, and Daoist ritual master are invited to conduct rituals. Two fushou 福首 are selected each year.","['Sima shengwang', 'Tianshang shengmu']"
01-10,01-10,V075-1,"On 1/10, the Zhou 周 take the incense burner of the shê altar on a procession to each household to xingdao 行道 practice the Dao.",[]
01-11,01-11,V075-2,"On 1/11, the Chen 陈 take the incense burner of the shê altar on a procession to each household to xingdao 行道 practice the Dao.",[]
01-14,01-14,V075-3,On 1/14 the first opera of the year is performed 头场戏. This is organized by the Chen 陈.,[]
01-22,01-23,V075-4,"On 1/22–23 a common Yuanxiao 总元宵 is held. Tianshang shengmu 天上圣母 and Sima shengwang 司马圣王 are invited to go on procession throughout the sevenfold ritual alliance. There is fire-walking 踏火 by carrying the sedan chairs of the gods through bonfires, and Daoist ritual master are invited to conduct rituals.","['Sima shengwang', 'Tianshang shengmu']"
01-12,01-12,V076-1,On 1/12 the villagers take the incense burners of the shê altar 社炉 and palm sedan chairs 棕轿 on a procession to each household to xingdao 行道 practice the Dao and to beg the gods for blessings and happiness 乞喜.,[]
01-22,01-23,V076-2,On 1/22–23 a common Yuanxiao 总元宵 is held. Tianshang shengmu 天上圣母 and Sima shengwang 司马圣王 are invited to go on procession throughout the sevenfold ritual alliance.,"['Sima shengwang', 'Tianshang shengmu']"
01-10,01-10,V077-1,On 1/10 the Zheng 郑 take the incense burner of their shê altar on a procession to each household to xingdao 行道 practice the Dao.,[]
01-11,01-11,V077-2,On 1/11 the Hong 洪 take the incense burner of their shê altar on a procession to each household to xingdao 行道 practice the Dao.,[]
01-12,01-12,V077-3,"On 1/12, the miscellaneous surname groups 杂姓 take the incense burner of their shê altar on a procession to each household to xingdao 行道 practice the Dao.",[]
01-22,01-23,V077-4,"On 1/22–23 a common Yuanxiao 总元宵 is held. Tianshang shengmu 天上圣母 and Sima shengwang 司马圣王 are invited to go on procession throughout the sevenfold ritual alliance. There is fire-walking 踏火 by carrying the sedan chairs of the gods through bonfires, and Daoist ritual master are invited to conduct rituals.","['Sima shengwang', 'Tianshang shengmu']"
01-16,01-16,V078-1,"On 1/16 The gods of Xingzhangshê 兴章社 and Xingzhangdian 兴章殿 are taken on a procession around the village. Opera is performed, and Daoist ritual masters are invited to conduct rites. The village organizes the event and funds are collected on a per capita basis.",[]
01-08,01-9,V079-1,On 1/8–9 villagers takes the gods of the Xinanshê 溪南社 on a procession.,[]
01-15,01-15,V079-2,On 1/15 the gods of the Zhengfushê 正福社 are taken on procession.,[]
01-26,01-28,V079-3,"On 1/26–28, during the final evenings of the Yuanxiao festival 末晚元宵, the gods of the Mingshan gong 名山宫 are taken on a procession within the village. Opera is performed for two days. Five Three in One scripture masters 经师 and one drummer are invited for one afternoon of rites. The men of the village are divided into ten groups, each having fifty-six people. Four directors are selected each year to organize the ritual activities.",[]
01-13,01-13,V080-1,On 1/13 Qitian dasheng 齐天大圣 is taken on a procession within the village. These events are organized by the Zheng 郑 and the Chen 陈.,['Qitian dasheng']
01-15,01-16,V081-1,On 1/15–16 Qitian dasheng 齐天大圣 is taken on a procession within the village and the village of Xiasong 下宋.,['Qitian dasheng']
01-15,01-15,V082-1,On 1/15 Qitian dasheng 齐天大圣 is taken on a procession within the village and to Dingsong 顶宋 village.,['Qitian dasheng']
01-13,01-13,V083-1,"On 1/13 Sima shengwang 司马圣王 is taken to each household to xingdao 行道 carry out the Way, and then goes on procession around the village.",['Sima shengwang']
